Vars,Clauses,Solve time,Restarts,Learned Clauses,Decisions,Implications,Result,File
125,538,0.035659208,7,79,106,4158,SAT,uf125-01_output.txt
50,100,0.024640101999999997,7,349,348,3918,UNSAT,aim-50-2_0-no-1_output.txt
50,218,0.004359598999999999,3,13,23,386,SAT,uf50-02_output.txt
50,218,0.006328397000000003,4,37,50,827,SAT,uf50-01_output.txt
100,430,0.089391503,6,304,318,13869,SAT,uf100-02_output.txt
200,400,10.391336357,11,8351,8385,308272,SAT,aim-200-2_0-yes1-2_output.txt
150,645,203.946425786,11,12162,12161,682943,UNSAT,uuf150-01_output.txt
50,218,0.004970228,4,23,44,529,SAT,uf50-03_output.txt
,,,,,,,Skipped file,uuf175-02_output.txt
125,538,1.0597704650000002,11,2391,2390,115416,UNSAT,uuf125-03_output.txt
175,753,0.737729783,11,1421,1457,89541,SAT,uf175-02_output.txt
75,325,0.036907885,6,176,175,5242,UNSAT,uuf75-02_output.txt
150,645,8.745193452,11,23954,23984,1376197,SAT,uf150-03_output.txt
100,200,0.396099074,11,3551,3559,118741,SAT,aim-100-2_0-yes1-3_output.txt
100,430,0.038714241999999996,8,129,146,5093,SAT,uf100-01_output.txt
175,753,3.668741297,11,8889,8913,596766,SAT,uf175-01_output.txt
50,100,0.023175834,7,290,296,5501,SAT,aim-50-2_0-yes1-1_output.txt
50,100,0.022734461999999997,9,424,423,5770,UNSAT,aim-50-2_0-no-2_output.txt
150,645,590.318733109,11,15591,15590,891760,UNSAT,uuf150-02_output.txt
200,400,1.5523803330000001,11,4228,4244,171414,SAT,aim-200-2_0-yes1-3_output.txt
50,218,0.008998869,6,58,57,1284,UNSAT,uuf50-02_output.txt
100,200,0.027214673,8,344,343,5475,UNSAT,aim-100-2_0-no-1_output.txt
200,400,6.097234236,11,24664,24663,537243,UNSAT,aim-200-2_0-no-2_output.txt
125,538,0.06956694799999999,6,206,228,8959,SAT,uf125-02_output.txt
175,753,2029.0792807560001,11,21315,21314,1373045,UNSAT,uuf175-01_output.txt
200,400,62.916821694,11,44374,44373,926166,UNSAT,aim-200-2_0-no-1_output.txt
100,200,0.030583793000000005,7,246,259,7542,SAT,aim-100-2_0-yes1-1_output.txt
50,100,0.035546126000000004,11,697,696,8811,UNSAT,aim-50-2_0-no-3_output.txt
100,200,0.06846533799999999,9,851,850,9511,UNSAT,aim-100-2_0-no-3_output.txt
50,100,0.008900665999999998,7,141,149,2631,SAT,aim-50-2_0-yes1-3_output.txt
100,430,0.023050085,6,67,84,2723,SAT,uf100-03_output.txt
,,,,,,,Skipped file,uuf175-03_output.txt
150,645,0.129515783,8,297,333,17106,SAT,uf150-02_output.txt
100,200,0.09166249900000001,8,931,945,31498,SAT,aim-100-2_0-yes1-2_output.txt
100,430,0.698442315,11,1353,1352,55097,UNSAT,uuf100-02_output.txt
100,200,0.152662291,11,1630,1629,26037,UNSAT,aim-100-2_0-no-2_output.txt
125,538,0.026359954,6,66,92,2833,SAT,uf125-03_output.txt
50,100,0.055341506,9,718,727,14877,SAT,aim-50-2_0-yes1-2_output.txt
75,325,0.039922411,7,189,188,5701,UNSAT,uuf75-01_output.txt
50,218,0.007907773,6,48,47,1074,UNSAT,uuf50-03_output.txt
125,538,1.030879739,9,1581,1580,76038,UNSAT,uuf125-01_output.txt
75,325,0.0035001220000000013,3,10,34,391,SAT,uf75-01_output.txt
150,645,0.643544671,11,1728,1760,101871,SAT,uf150-01_output.txt
75,325,0.006493196999999999,5,34,44,861,SAT,uf75-03_output.txt
200,400,9.06190497,11,55779,55807,3593724,SAT,aim-200-2_0-yes1-1_output.txt
50,218,0.011954817000000001,6,85,84,1976,UNSAT,uuf50-01_output.txt
125,538,10.149475516,11,4931,4930,237583,UNSAT,uuf125-02_output.txt
100,430,0.170073901,11,544,543,20997,UNSAT,uuf100-01_output.txt
75,325,0.097062383,6,393,392,11492,UNSAT,uuf75-03_output.txt
175,753,0.16536633299999998,9,306,339,22016,SAT,uf175-03_output.txt
150,645,588.9511019290001,11,17920,17919,1014904,UNSAT,uuf150-03_output.txt
75,325,0.001969316999999998,1,1,21,41,SAT,uf75-02_output.txt
200,400,0.40619895699999997,11,3436,3435,70996,UNSAT,aim-200-2_0-no-3_output.txt
100,430,0.407236722,11,971,970,38561,UNSAT,uuf100-03_output.txt
