Vars,Clauses,Solve time,Restarts,Learned Clauses,Decisions,Implications,Result,File
125,538,0.018439753000000003,7,42,70,1907,SAT,uf125-01_output.txt
50,100,0.034795182,8,455,454,5247,UNSAT,aim-50-2_0-no-1_output.txt
50,218,0.002410774000000001,3,12,22,345,SAT,uf50-02_output.txt
50,218,0.0058690570000000004,5,41,54,887,SAT,uf50-01_output.txt
100,430,0.117570217,8,498,511,20738,SAT,uf100-02_output.txt
,,,,,,,Skipped file,aim-200-2_0-yes1-2_output.txt
150,645,1107.153533815,11,25256,25255,1433135,UNSAT,uuf150-01_output.txt
50,218,0.004432287,3,21,42,514,SAT,uf50-03_output.txt
,,,,,,,Skipped file,uuf175-02_output.txt
125,538,23.060605351,11,5586,5585,265514,UNSAT,uuf125-03_output.txt
175,753,0.409598606,9,952,988,60499,SAT,uf175-02_output.txt
75,325,0.063183709,9,260,259,8120,UNSAT,uuf75-02_output.txt
150,645,14.976663268,11,40206,40227,2415938,SAT,uf150-03_output.txt
100,200,0.23444492500000003,11,2676,2685,78063,SAT,aim-100-2_0-yes1-3_output.txt
100,430,0.064608217,9,251,266,9919,SAT,uf100-01_output.txt
175,753,8.165721406,11,20310,20344,1308386,SAT,uf175-01_output.txt
50,100,0.01699817,8,282,290,4769,SAT,aim-50-2_0-yes1-1_output.txt
50,100,0.096536688,9,894,893,12379,UNSAT,aim-50-2_0-no-2_output.txt
150,645,2145.61096009,11,24994,24993,1421462,UNSAT,uuf150-02_output.txt
200,400,51.952096825,11,16007,16022,583519,SAT,aim-200-2_0-yes1-3_output.txt
50,218,0.009865191,6,62,61,1355,UNSAT,uuf50-02_output.txt
100,200,0.083977879,11,1139,1138,15095,UNSAT,aim-100-2_0-no-1_output.txt
200,400,1042.161734379,11,154456,154455,3255606,UNSAT,aim-200-2_0-no-2_output.txt
125,538,0.065736996,7,206,228,9486,SAT,uf125-02_output.txt
,,,,,,,Skipped file,uuf175-01_output.txt
,,,,,,,Skipped file,aim-200-2_0-no-1_output.txt
100,200,0.048417222999999995,7,532,547,12742,SAT,aim-100-2_0-yes1-1_output.txt
50,100,0.142451165,11,1762,1761,24030,UNSAT,aim-50-2_0-no-3_output.txt
100,200,0.437243793,11,1716,1715,19023,UNSAT,aim-100-2_0-no-3_output.txt
50,100,0.017306512,7,296,304,3919,SAT,aim-50-2_0-yes1-3_output.txt
100,430,0.012930730000000001,4,33,51,1266,SAT,uf100-03_output.txt
,,,,,,,Skipped file,uuf175-03_output.txt
150,645,0.148151531,8,359,393,21037,SAT,uf150-02_output.txt
100,200,0.199878826,11,2311,2322,67311,SAT,aim-100-2_0-yes1-2_output.txt
100,430,0.915466111,11,2127,2126,85939,UNSAT,uuf100-02_output.txt
100,200,10.214511716999999,11,8718,8717,147464,UNSAT,aim-100-2_0-no-2_output.txt
125,538,0.022219157000000003,5,54,78,2337,SAT,uf125-03_output.txt
50,100,0.015171148,6,333,341,4943,SAT,aim-50-2_0-yes1-2_output.txt
75,325,0.047207470999999994,6,210,209,6310,UNSAT,uuf75-01_output.txt
50,218,0.011358318999999999,5,50,49,1175,UNSAT,uuf50-03_output.txt
125,538,4.08108089,11,3367,3366,162400,UNSAT,uuf125-01_output.txt
75,325,0.003778700999999999,5,13,37,513,SAT,uf75-01_output.txt
150,645,1.729433508,11,4978,5006,286218,SAT,uf150-01_output.txt
75,325,0.006173623,5,24,36,744,SAT,uf75-03_output.txt
200,400,8.507336191999999,11,68729,68763,3158541,SAT,aim-200-2_0-yes1-1_output.txt
50,218,0.016350577,6,100,99,2089,UNSAT,uuf50-01_output.txt
125,538,184.67768912900002,11,11847,11846,572008,UNSAT,uuf125-02_output.txt
100,430,0.360351216,8,1068,1067,41000,UNSAT,uuf100-01_output.txt
75,325,0.101688371,8,365,364,10795,UNSAT,uuf75-03_output.txt
175,753,0.34689270699999997,9,791,826,52171,SAT,uf175-03_output.txt
150,645,1281.023098845,11,22941,22940,1307028,UNSAT,uuf150-03_output.txt
75,325,0.0019847500000000004,0,1,21,41,SAT,uf75-02_output.txt
200,400,6.329087443000001,11,9488,9487,160983,UNSAT,aim-200-2_0-no-3_output.txt
100,430,0.6314865970000001,11,1454,1453,58635,UNSAT,uuf100-03_output.txt
